,wind_speed_10m,wind_gusts_10m,temperature_2m,wind_direction_10m,weather_code
2024-01-22 23:00:00,14.021525,33.839996,5.0,228.12221,51.0
2024-01-23 00:00:00,11.726277,37.8,4.0,252.1212,53.0
2024-01-23 02:00:00,7.9932966,29.88,3.0,234.16226,51.0
2024-01-23 03:00:00,4.0249224,25.919998,3.0,259.69522,61.0
2024-01-23 04:00:00,10.587918,31.68,4.0,234.6887,53.0
2024-01-23 06:00:00,15.844089,29.519999,4.0,201.31798,51.0
2024-01-23 19:00:00,4.6938252,11.5199995,5.0,184.39862,51.0
2024-01-24 05:00:00,12.324414,33.12,9.0,263.29025,63.0
2024-01-24 06:00:00,11.200571,33.48,10.0,224.9999,53.0
2024-01-24 11:00:00,12.7279215,37.079998,11.0,241.2603,51.0
2024-01-24 14:00:00,10.661107,28.8,11.0,258.31067,51.0
2024-01-24 15:00:00,10.137692,29.519999,10.0,253.49556,53.0
2024-01-24 16:00:00,12.181625,37.079998,9.0,251.0295,51.0
2024-01-25 00:00:00,6.989936,24.84,8.0,214.50858,51.0
2024-01-25 01:00:00,7.072878,20.519999,8.0,255.2564,51.0
2024-01-25 03:00:00,9.021574,26.28,8.0,241.38963,51.0
2024-01-25 04:00:00,5.815978,29.16,8.0,248.19853,55.0
2024-01-25 05:00:00,3.396233,20.880001,8.0,237.99466,51.0
2024-01-25 06:00:00,3.671294,18.359999,7.0,258.6901,55.0
2024-01-25 07:00:00,4.6938257,17.64,7.0,237.52882,53.0
2024-01-25 08:00:00,3.6179552,17.28,7.0,275.7105,61.0
2024-01-25 09:00:00,3.319036,13.679999,7.0,282.5288,53.0
2024-01-25 14:00:00,2.7416782,4.32,7.0,66.801384,51.0
2024-01-25 19:00:00,6.489992,12.24,6.0,326.3099,3.0
2024-01-25 20:00:00,5.692099,10.08,5.0,325.30478,3.0
2024-01-25 21:00:00,5.3999996,7.5599995,5.0,323.13004,3.0
2024-01-25 22:00:00,6.1094027,11.159999,5.0,315.0001,3.0
2024-01-25 23:00:00,5.8603754,11.5199995,5.0,317.4896,3.0
2024-01-26 00:00:00,5.0911684,10.440001,5.0,315.0001,3.0
2024-01-26 01:00:00,5.1165614,9.0,4.0,320.7106,3.0
2024-01-26 02:00:00,4.6938257,7.92,4.0,327.52884,2.0
2024-01-26 03:00:00,3.6,6.8399997,4.0,323.13,2.0
2024-01-26 04:00:00,2.8116899,5.04,4.0,320.1945,2.0
2024-01-26 05:00:00,2.8116899,5.3999996,4.0,320.1945,3.0
2024-01-26 06:00:00,2.3051248,5.3999996,4.0,308.65982,3.0
2024-01-26 07:00:00,1.5273507,3.96,4.0,315.0001,3.0
2024-01-26 08:00:00,2.0364676,3.6,4.0,315.0001,2.0
2024-01-26 09:00:00,2.3051248,2.8799999,6.0,308.65982,2.0
2024-01-26 10:00:00,3.4152596,6.12,7.0,288.43503,1.0
2024-01-26 11:00:00,3.319036,7.92,9.0,282.5288,1.0
2024-01-26 12:00:00,4.829907,13.32,10.0,296.56497,3.0
2024-01-26 13:00:00,3.7585104,16.199999,10.0,286.6993,3.0
2024-01-26 14:00:00,5.1919937,11.879999,9.0,303.6901,2.0
2024-01-26 15:00:00,5.0142193,11.879999,9.0,291.03757,3.0
2024-01-26 16:00:00,4.5536795,9.36,8.0,288.43503,3.0
2024-01-26 17:00:00,5.0142193,8.64,6.0,291.03757,3.0
2024-01-26 18:00:00,5.3999996,9.0,6.0,270.0,3.0
2024-01-26 19:00:00,5.4477882,10.08,5.0,277.59454,51.0
2024-01-26 20:00:00,5.8048253,9.72,5.0,262.8751,53.0
2024-01-26 21:00:00,5.4477882,10.799999,5.0,277.59454,61.0
2024-01-26 22:00:00,5.3999996,10.799999,5.0,270.0,61.0
